epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.2609,1.47454,1.56445,0.9814,0.83697,0.58394,0.69948,0.39879,1.41965,1.54185,0.99491,0.0006639,0.0006639,0.0006639
2,166.772,1.38532,0.9397,0.95241,0.83737,0.70396,0.79312,0.45139,1.35981,0.98349,0.97428,0.00129293,0.00129293,0.00129293
3,240.7,1.38946,0.89293,0.95844,0.86373,0.75115,0.82741,0.46086,1.36231,0.88634,0.99559,0.00188425,0.00188425,0.00188425
4,315.425,1.35642,0.83926,0.95146,0.84825,0.75238,0.82512,0.49323,1.3137,0.88477,0.98042,0.00183029,0.00183029,0.00183029
5,390.661,1.30847,0.78103,0.93835,0.8724,0.75839,0.84893,0.50804,1.28612,0.7713,0.96009,0.00177371,0.00177371,0.00177371
6,465.482,1.2654,0.74191,0.93034,0.88095,0.7884,0.87208,0.53926,1.20805,0.73328,0.95138,0.00171714,0.00171714,0.00171714
7,539.913,1.23817,0.70818,0.92078,0.88637,0.80385,0.88024,0.55022,1.19219,0.67997,0.9441,0.00166057,0.00166057,0.00166057
8,614.128,1.21377,0.68505,0.91882,0.88197,0.81708,0.89099,0.56561,1.17519,0.65934,0.93859,0.001604,0.001604,0.001604
9,687.995,1.19477,0.66514,0.91168,0.89882,0.82374,0.90119,0.58075,1.11795,0.6172,0.91898,0.00154743,0.00154743,0.00154743
10,762.29,1.18892,0.65734,0.90792,0.89847,0.82858,0.89892,0.57783,1.13395,0.62421,0.92484,0.00149086,0.00149086,0.00149086
11,836.137,1.15993,0.63679,0.90433,0.8967,0.82349,0.89546,0.57421,1.12592,0.62577,0.92289,0.00143429,0.00143429,0.00143429
12,910.582,1.144,0.62517,0.90017,0.90486,0.82257,0.90291,0.58569,1.10862,0.61439,0.91657,0.00137771,0.00137771,0.00137771
13,984.892,1.13315,0.6106,0.89792,0.9071,0.84915,0.91419,0.60126,1.08002,0.58036,0.91103,0.00132114,0.00132114,0.00132114
14,1059.08,1.12384,0.60841,0.8946,0.90954,0.84808,0.91917,0.61229,1.05598,0.54841,0.90324,0.00126457,0.00126457,0.00126457
15,1133.41,1.11646,0.59634,0.89132,0.91259,0.854,0.92191,0.61244,1.05772,0.54676,0.90472,0.001208,0.001208,0.001208
16,1207.64,1.10739,0.58294,0.8879,0.90964,0.86156,0.92457,0.61778,1.03889,0.53921,0.89862,0.00115143,0.00115143,0.00115143
