epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,664.907,0.82589,0.40398,0.86331,0.94058,0.93702,0.97624,0.74887,0.78234,0.44179,0.83196,0.0002,0.0002,0.0002
2,1322.09,0.80608,0.388,0.85886,0.94316,0.93709,0.97734,0.75147,0.77759,0.42062,0.82991,0.000198785,0.000198785,0.000198785
3,1977.81,0.79935,0.3851,0.85767,0.94213,0.93629,0.97764,0.75338,0.774,0.38538,0.82785,0.000195175,0.000195175,0.000195175
4,2631.48,0.79878,0.38469,0.85458,0.94435,0.93602,0.97766,0.75338,0.77378,0.37198,0.82854,0.000189282,0.000189282,0.000189282
5,3282.18,0.78944,0.37844,0.85367,0.94132,0.94138,0.97846,0.75542,0.7696,0.38025,0.82696,0.000181284,0.000181284,0.000181284
6,3930.13,0.78879,0.37504,0.85337,0.94363,0.93892,0.97796,0.75468,0.77171,0.36907,0.82769,0.000171423,0.000171423,0.000171423
7,4576.68,0.78116,0.3731,0.85341,0.94497,0.93826,0.9783,0.75628,0.77037,0.37004,0.82773,0.00016,0.00016,0.00016
8,5221.03,0.77548,0.3685,0.85148,0.94007,0.94012,0.9783,0.7574,0.76543,0.37416,0.82698,0.000147362,0.000147362,0.000147362
9,5845.37,0.7678,0.35567,0.85107,0.94613,0.93702,0.97772,0.75548,0.77101,0.36871,0.82737,0.000133892,0.000133892,0.000133892
10,6469.52,0.7595,0.34892,0.8492,0.94169,0.93916,0.97829,0.75559,0.76894,0.36623,0.82801,0.00012,0.00012,0.00012
11,7090.83,0.75402,0.34709,0.84708,0.93976,0.94141,0.97814,0.75721,0.7644,0.36329,0.82552,0.000106108,0.000106108,0.000106108
12,7714.02,0.75234,0.34501,0.84553,0.94087,0.94106,0.9788,0.75813,0.76485,0.36267,0.82679,9.26384e-05,9.26384e-05,9.26384e-05
13,8338.55,0.74934,0.34284,0.84726,0.94194,0.93933,0.97793,0.75904,0.76266,0.36213,0.82651,8e-05,8e-05,8e-05
14,8963.09,0.7428,0.34007,0.84428,0.94102,0.94204,0.97838,0.75728,0.76399,0.35783,0.82703,6.8577e-05,6.8577e-05,6.8577e-05
15,9585.66,0.74312,0.33861,0.84502,0.94023,0.94147,0.97804,0.75927,0.76259,0.35886,0.82705,5.87164e-05,5.87164e-05,5.87164e-05
16,10206.3,0.73805,0.33648,0.84404,0.94297,0.94059,0.97831,0.75867,0.76205,0.35689,0.82651,5.0718e-05,5.0718e-05,5.0718e-05
17,10829.1,0.73678,0.3354,0.84247,0.94127,0.94319,0.97886,0.76006,0.76236,0.35583,0.82715,4.48246e-05,4.48246e-05,4.48246e-05
18,11449.5,0.73745,0.33463,0.84154,0.94346,0.93966,0.97888,0.76083,0.7597,0.35501,0.8251,4.12154e-05,4.12154e-05,4.12154e-05
